id,target_score
0,0.03436232387695154
1,0.07114535938041297
2,0.04785317838608504
3,0.043382595616158245
4,0.038676848723653415
5,0.13118345426799635
6,0.04997981972448823
7,0.03418237826309091
8,0.052690037887306425
9,0.14176594640398837
10,0.033909023978603785
11,0.09662339574820529
12,0.08088929618691959
13,0.1830387075369116
14,0.06150344586984346
15,0.041371346228686934
16,0.06384553810328103
17,0.04665246305947197
18,0.02966918793992471
19,0.08677107643422619
20,0.2520631147424366
21,0.04346268557787302
22,0.03428779354752378
23,0.13614771959162467
24,0.08814010745681723
25,0.20202216400370399
26,0.034935539698352676
27,0.04279243470139908
28,0.06605498615200957
29,0.0676926071049504
30,0.09423813540685036
31,0.03267384997432979
32,0.14257883026998364
33,0.04685439912633695
34,0.028437825508829555
35,0.04292198073049684
36,0.040392445019870146
37,0.06181032370197758
38,0.20387663600260925
39,0.0454791265365236
40,0.06865795367675533
41,0.03523533156334913
42,0.03252946675863605
43,0.0578367553506191
44,0.028291976552032444
45,0.06308414605185984
46,0.15152990575260572
47,0.17163917346004046
48,0.03793716945308797
49,0.029848205495135595
50,0.10644125361054615
51,0.03692357463277723
52,0.11544544082102817
53,0.03685846253350255
54,0.15189203121154474
55,0.04353761028956047
56,0.07502393579658165
57,0.03496813956857053
58,0.3492053729321684
59,0.0500339593031064
60,0.03894611712060465
61,0.029334474458238568
62,0.19453309066841082
63,0.04075630499600368
64,0.03983285280396992
65,0.050244796847088186
66,0.04001991339146817
67,0.032321982949063896
68,0.03802628764355094
69,0.06609529330692071
70,0.07657383371806681
71,0.03632159489282223
72,0.03590403843240761
73,0.03829060568884131
74,0.15462772082739712
75,0.04483413722268135
76,0.0319326471996044
77,0.04088427434294258
78,0.042791127115964965
79,0.09679057561159844
80,0.04903702527693443
81,0.11007755039393281
82,0.03113810989470164
83,0.04164731748121215
84,0.036010948980632514
85,0.30769894048442326
86,0.04678013970818793
87,0.11238675408835483
88,0.029600987956002793
89,0.052210959680834876
90,0.029945376836804122
91,0.08120550885558107
92,0.03431659252552166
93,0.041629800341107845
94,0.039016532696249356
95,0.036314578959535854
96,0.55352365819541
97,0.06749333024155076
98,0.0424084423799495
99,0.07545855993968889
100,0.06201868938198901
101,0.06185015583757914
102,0.21904232930983772
103,0.08419500881363973
104,0.05013783134816193
105,0.12845077013260678
106,0.15257044253490396
107,0.05711915407411421
108,0.0728873646694541
109,0.08667459797621536
110,0.04865965837000116
111,0.11928324728238673
112,0.04834145790922129
113,0.03877433974721535
114,0.058548168329147256
115,0.041598103422140084
116,0.036647147490520775
117,0.030522330416105574
118,0.05883555756446819
119,0.04169544082486648
120,0.030064214889425036
121,0.11507440060684697
122,0.04174190049105904
123,0.027986228970974622
124,0.04846058922927133
125,0.07641879609219242
126,0.030448864802822134
127,0.06005420380287087
128,0.14464213897360448
129,0.03374991627032065
130,0.037624782968162886
131,0.04778936265891658
132,0.10287088840834847
